TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
215,403.15,10,1.223503502,0.5,180,19.77272727,2
9,423.15,8,0.2,0.515,9,17.95454545,2
300,423.15,3.7,0,2,293,15.48,1
15,423.15,8,0.1,0.515,15,17.95454545,2
0,463.15,19,0,0.42,0,12.95454545,1
121.8767439,373.65,8,0.203935964,8,112.4392439,18.86363636,3
59.87793727,463.15,6,0,0.42,59.87793727,24.88636364,2
30.04860981,408.15,8,0.407871928,8,16.29860981,18.86363636,3
48.7311828,433.15,6,0,5,44.7311828,15.1,1
65,403.15,10,0.815669002,0.5,30,19.77272727,2
90,443.15,5,0,3,60,16.93181818,2
120,423.15,4,0,10.35,60,20.47,1
19,448.15,10,0.076468969,1,5,18.75,2
415.1260689,373.65,8,0.203935964,8,405.6885689,18.86363636,3
120,483.15,4,0,10.35,60,20.47,1
10.26791523,493.15,40,0,5,10.26791523,23.78409091,1
151.687725,373.65,8,0.203935964,8,142.250225,18.86363636,3
103.6250133,398.15,8,0.101967982,8,91.12501332,18.86363636,3
60,383.15,10,0.305875876,0.425,60,15,2
237.8184587,388.15,8,0.203935964,8,226.5684587,18.86363636,2
9.4375,373.65,8,0.305903946,8,0,18.86363636,3
93,453.15,5.666666667,0,2,78,19.31818182,2
50,463.15,15,0,0.177,40,12.16,2
164.6088275,398.15,8,0.305903946,8,152.1088275,18.86363636,2
675.58,373.73,10,2.039172504,0.5,600,19.77272727,3
60,398.15,16,0.810463078,0.5,59.03101852,33.20454545,2
70,403.15,8,0.405231539,0.5,68.98256944,33.20454545,2
95,403.15,10,1.223503502,0.5,60,19.77272727,2
49.58950329,408.15,8,0.305903946,8,35.83950329,18.86363636,2
120,403.15,8,1.215694618,0.5,118.95,33.20454545,1
30,443.15,8,0.101958625,8,30,19.43,1
51,423.15,8,0.2,0.515,51,17.95454545,2
35,483.15,3.333333333,0,1,20,23.86363636,1
11.15862622,473.15,10,1.777185383,0.5,7.358626217,20.909,2
64.32967033,440.15,6,0,5,60.32967033,15.1,2
38.57142857,463.15,15,0,0.59,15,15,2
60,453.15,4,0.023442288,0.42,60,25.02272727,2
225.1717233,388.15,8,0.203935964,8,213.9217233,18.86363636,2
30,458.15,7.575757576,0,1,20,23.86363636,1
90,388.15,10,0.815669002,0.5,60,19.77272727,2
31.875,433.15,8,0,8,15,18.86363636,1
98.97336563,453.15,40,0,0.425,95.20547945,20.9,2
0,433.15,9,0.101958625,0.84,0,16.59,1
64.92868586,408.15,8,0.305903946,8,51.17868586,18.86363636,2
